prompt,completion
"What is the weakness of the Crawler?","Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Crawler located?","South-Western Continent (Grass, Wasteland, Desert [North] [WoR] Northern-Middle Continent (Wasteland) [WoR] North-Eastern Continent (Wasteland) [WoR]"
"What can be stolen from the Crawler?","Remedy (1/8)"
"What is the special attack of the Crawler?","Feeler (inflicts 'Poison')"
"What status effects does the Crawler resist?","Poison"
"How much HP does the Crawler have?","3200"
"What rage can be learned from the Crawler?","Traveler"
"What sketch can be drawn from the Crawler?","Traveler (3/4), Feeler (1/4)"
"What abilities can be used while controlling the Crawler?","Attack, Feeler, Traveler"
"What is the weakness of the Sprinter?","Zombie, MagiTek, Invisible, Death, Doom, Image, Silence, Berserk, Confusion, Sap, Sleep"
"Where is the Sprinter located?","South-Western Continent (Wasteland) [WoR] Northern-Middle Continent (Grass) [WoR] North-Eastern Continent (Grass) [WoR]"
"What does the Sprinter drop?","Reed Cloak (1/8)"
"What is the special attack of the Sprinter?","Osmose Beak (steals MP)"
"What status effects does the Sprinter resist?","Darkness, Poison, Imp, Petrify, Critical, Slow, Stop"
"How much HP does the Sprinter have?","4500"
"What rage can be learned from the Sprinter?","Aero"
"What sketch can be drawn from the Sprinter?","Aero (3/4), Osmose Beak (1/4)"
"What abilities can be used while controlling the Sprinter?","Attack, Osmose Beak, Cyclonic"
"What is the Basilisk known as on the SNES?","Geckorex"
"What is the weakness of the Basilisk?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Basilisk located?","South-Western Continent (Grass, Desert [North]) [WoR] Northern-Middle Continent (Grass) [WoR]"
"What does the Basilisk drop?","Tortoise Shield (1/8)"
"What can be stolen from the Basilisk?","Tortoise Shield (1/8)"
"What is the special attack of the Basilisk?","Stone Gaze (inflicts 'Petrify')"
"What status effects does the Basilisk resist?","Petrify"
"How much HP does the Basilisk have?","5000"
"What rage can be learned from the Basilisk?","Break"
"What sketch can be drawn from the Basilisk?","Break (3/4), Stone Gaze (1/4)"
"What abilities can be used while controlling the Basilisk?","Attack, Stone Gaze, Break, Dread Gaze"
"What is the Lycaon known as on the SNES?","Spek Tor"
"What is the weakness of the Lycaon?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Critical, Image, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Lycaon located?","South-Western Continent (Wasteland) [WoR] Northern-Middle Continent (Grass) [WoR] North-Eastern Continent (Grass) [WoR]"
"What can be stolen from the Lycaon?","X-Potion (1/8)"
"What is the special attack of the Lycaon?","Scratch (150% damage)"
"What status effects does the Lycaon resist?","Death, Doom, Silence"
"How much HP does the Lycaon have?","250"
"What rage can be learned from the Lycaon?","Blaster"
"What sketch can be drawn from the Lycaon?","Blaster (3/4), Scratch (1/4)"
"What abilities can be used while controlling the Lycaon?","Attack, Scratch, Acid Rain"
"What is the Greater Mantis known as on the SNES?","Mantodea"
"What is the weakness of the Greater Mantis?","Zombie, Poison, MagiTek, Invisible, Image, Silence, Berserk, Confusion, Slow, Stop"
"Where is the Greater Mantis located?","South-Western Continent (Forest, Wasteland) [WoR] Northern-Middle Continent (Grass) [WoR] North-Eastern Continent (Grass) [WoR]"
"What can be stolen from the Greater Mantis?","Impartisan (1/8)"
"What is the special attack of the Greater Mantis?","Mind Reaper (steals MP)"
"What status effects does the Greater Mantis resist?","Darkness, Imp, Petrify, Death, Doom, Critical, Sap"
"How much HP does the Greater Mantis have?","4500"
"What rage can be learned from the Greater Mantis?","Wind Slash"
"What sketch can be drawn from the Greater Mantis?","Wind Slash (3/4), Mind Reaper (1/4)"
"What abilities can be used while controlling the Greater Mantis?","Attack, Mind Reaper, Wind Slash"
"What is the weakness of the Test Rider?","Darkness, Zombie, Poison, MagiTek, Invisible, Image, Berserk, Sap, Sleep, Slow, Stop"
"Where is the Test Rider located?","Narshe [WoR]"
"What does the Test Rider drop?","Heavy Lance (1/8)"
"What can be stolen from the Test Rider?","Partisan (1/8)"
"What type of monster is the Test Rider?","Humanoid"
"What is the special attack of the Test Rider?","Golden Lance (300% damage)"
"What status effects does the Test Rider resist?","Imp, Petrify, Death, Doom, Critical, Silence, Confusion"
"How much HP does the Test Rider have?","3100"
"What rage can be learned from the Test Rider?","Flash Rain"
"What sketch can be drawn from the Test Rider?","Flash Rain (3/4), Golden Lance (1/4)"
"What abilities can be used while controlling the Test Rider?","Attack, Golden Lance, Flash Rain"
"What is the weakness of the Wizard?","Zombie, Poison, MagiTek, Invisible, Critical, Image, Silence, Sap, Sleep, Slow, Stop"
"Where is the Wizard located?","Narshe Mines (West Mines, except 1st Cave) [WoR]"
"What does the Wizard drop?","Flame Rod (1/8)"
"What can be stolen from the Wizard?","Thunder Rod (7/8), Ice Rod (1/8)"
"What type of monster is the Wizard?","Humanoid"
"What is the special attack of the Wizard?","Fallen Footsteps (inflicts 'Zombie')"
"What status effects does the Wizard resist?","Darkness, Imp, Petrify, Death, Doom, Berserk, Confusion"
"How much HP does the Wizard have?","1677"
"What rage can be learned from the Wizard?","Gravity"
"What sketch can be drawn from the Wizard?","Gravity (3/4), Rasp (1/4)"
"What abilities can be used while controlling the Wizard?","Attack, Rasp, Gravity, Stop"
"What is the Lukhavi known as on the SNES?","Nastidon"
"What is the weakness of the Lukhavi?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Lukhavi located?","Narshe [WoR]"
"What does the Lukhavi drop?","Hi-Potion (1/8)"
"What can be stolen from the Lukhavi?","Potion (7/8), Hi-Potion (1/8)"
"What is the special attack of the Lukhavi?","Claw Swipe (150% damage)"
"What status effects does the Lukhavi resist?","Death, Doom"
"How much HP does the Lukhavi have?","1877"
"What rage can be learned from the Lukhavi?","Snowstorm"
"What sketch can be drawn from the Lukhavi?","Attack (3/4), Claw Swipe (1/4)"
"What abilities can be used while controlling the Lukhavi?","Attack, Claw Swipe"
"What is the Magna Roader (Yellow) known as on the SNES?","Mag Roader"
"What is the weakness of the Magna Roader (Yellow)?","Darkness, Zombie, MagiTek, Invisible, Death, Doom, Critical, Image, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Magna Roader (Yellow) located?","Narshe Mines (North Mines and 1st Cave of West Mines) [WoR]"
"What does the Magna Roader (Yellow) drop?","Water Scroll (1/8)"
"What can be stolen from the Magna Roader (Yellow)?","Lightning Scroll (7/8), Shuriken (1/8)"
"What is the special attack of the Magna Roader (Yellow)?","Wheel (150% damage)"
"What status effects does the Magna Roader (Yellow) resist?","Poison, Imp, Petrify, Silence"
"How much HP does the Magna Roader (Yellow) have?","1777"
"What rage can be learned from the Magna Roader (Yellow)?","Haste"
"What sketch can be drawn from the Magna Roader (Yellow)?","Attack (3/4), Wheel (1/4)"
"What abilities can be used while controlling the Magna Roader (Yellow)?","Attack, Wheel"
"What is the Magna Roader (Brown) known as on the SNES?","Mag Roader"
"What is the weakness of the Magna Roader (Brown)?","Zombie, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Magna Roader (Brown) located?","Narshe Mines (North Mines and 1st Cave of West Mines)[WoR]"
"What does the Magna Roader (Brown) drop?","Flame Scroll (1/8)"
"What can be stolen from the Magna Roader (Brown)?","Lightning Scroll (7/8), Shuriken (1/8)"
"What is the special attack of the Magna Roader (Brown)?","Slam (200% damage)"
"What status effects does the Magna Roader (Brown) resist?","Darkness, Poison, Imp, Silence"
"How much HP does the Magna Roader (Brown) have?","1380"
"What rage can be learned from the Magna Roader (Brown)?","Lv.4 Flare"
"What sketch can be drawn from the Magna Roader (Brown)?","Attack (3/4), Slam (1/4)"
"What abilities can be used while controlling the Magna Roader (Brown)?","Attack, Slam"
"What is the Psychos known as on the SNES?","Psychot"
"What is the weakness of the Psychos?","Zombie, MagiTek, Invisible, Critical, Image, Silence, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Psychos located?","Narshe Mines (West Mines, except 1st Cave) [WoR]"
"What does the Psychos drop?","Potion (1/8)"
"What can be stolen from the Psychos?","Potion (Always)"
"What is the special attack of the Psychos?","Mindshock (steals MP)"
"What status effects does the Psychos resist?","Darkness, Poison, Imp, Petrify, Death, Doom, Sleep"
"What status effects does the Psychos absorb?","Fire"
"How much HP does the Psychos have?","900"
"What rage can be learned from the Psychos?","Lifeshaver"
"What sketch can be drawn from the Psychos?","Lifeshaver (3/4), Mindshock (1/4)"
"What abilities can be used while controlling the Psychos?","Attack, Mindshock, Lifeshaver"
"What is the Garm known as on the SNES?","Red Wolf"
"What is the weakness of the Garm?","Zombie, MagiTek, Invisible, Imp, Image, Sap"
"Where is the Garm located?","Narshe [WoR] Narshe Mines (West Mines, except 1st Cave) [WoR]"
"What does the Garm drop?","Potion (1/8)"
"What can be stolen from the Garm?","Potion (Always)"
"What is the special attack of the Garm?","Bodyslam (150% damage)"
"What status effects does the Garm resist?","Darkness, Poison, Petrify, Death, Doom, Critical, Silence"
"How much HP does the Garm have?","1510"
"What rage can be learned from the Garm?","Bodyslam"
"What sketch can be drawn from the Garm?","Revenge Blast (3/4), Bodyslam (1/4)"
"What abilities can be used while controlling the Garm?","Attack, Bodyslam"
"What is the Tonberry known as on the SNES?","Pug"
"What is the weakness of the Tonberry?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Critical, Image"
"Where is the Tonberry located?","Yeti's Cave (Everywhere except Umaro's Room) [WoR]"
"What does the Tonberry drop?","Tintinnabulum (1/8)"
"What is the special attack of the Tonberry?","Knife (800% damage)"
"What status effects does the Tonberry resist?","Death, Doom, Silence, Berserk, Confusion, Sap, Sleep"
"What status effects does the Tonberry absorb?","Water"
"How much HP does the Tonberry have?","8000"
"What rage can be learned from the Tonberry?","Break"
"What sketch can be drawn from the Tonberry?","Break (3/4), Knife (1/4)"
"What abilities can be used while controlling the Tonberry?","Attack, Knife, Break"
"What is the Onion Dasher known as on the SNES?","Tomb Thumb"
"What is the weakness of the Onion Dasher?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Onion Dasher located?","Yeti's Cave (Umaro's Room & Cave with Tonberries) [WoR]"
"What does the Onion Dasher drop?","Green Cherry (1/8)"
"What type of monster is the Onion Dasher?","Humanoid"
"What is the special attack of the Onion Dasher?","Dash (bestows 'Haste')"
"What status effects does the Onion Dasher resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Onion Dasher have?","2000"
"What rage can be learned from the Onion Dasher?","Traveler"
"What sketch can be drawn from the Onion Dasher?","Traveler (3/4), Dash (1/4)"
"What abilities can be used while controlling the Onion Dasher?","Attack, Dash, Traveler"
"What is the weakness of the Anemone?","Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Sap, Slow, Stop"
"Where is the Anemone located?","Yeti's Cave (Umaro's Room & Cave with Tonberries) [WoR]"
"What does the Anemone drop?","Green Cherry (7/8)"
"What is the special attack of the Anemone?","Imp Touch (inflicts 'Imp')"
"What status effects does the Anemone resist?","Darkness, Imp, Berserk, Confusion, Sleep"
"What status effects does the Anemone absorb?","Lightning, Water"
"How much HP does the Anemone have?","2000"
"What rage can be learned from the Anemone?","Gigavolt"
"What sketch can be drawn from the Anemone?","Gigavolt (3/4), Imp (1/4)"
"What abilities can be used while controlling the Anemone?","Attack, Thundaga, Gigavolt"
"What is the Illuyankas known as on the SNES?","Ceritops"
"What is the weakness of the Illuyankas?","Zombie, MagiTek, Invisible, Imp, Image, Silence, Berserk, Sap, Sleep, Slow, Stop"
"Where is the Illuyankas located?","Yeti's Cave (Everywhere) [WoR]"
"What does the Illuyankas drop?","Green Cherry (7/8), White Cape (1/8)"
"What is the special attack of the Illuyankas?","Friendmaker (inflicts 'Imp')"
"What status effects does the Illuyankas resist?","Darkness, Poison, Petrify, Death, Doom, Critical, Confusion"
"What status effects does the Illuyankas absorb?","Lightning"
"How much HP does the Illuyankas have?","2000"
"What rage can be learned from the Illuyankas?","Gigavolt"
"What sketch can be drawn from the Illuyankas?","Gigavolt (3/4), Imp (1/4)"
"What abilities can be used while controlling the Illuyankas?","Attack, Thundaga, Gigavolt"
"What is the Knotty known as on the SNES?","Poppers"
"What is the weakness of the Knotty?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Knotty located?","Yeti's Cave (Everywhere except Umaro's Room) [WoR]"
"What does the Knotty drop?","Green Cherry (1/8)"
"What is the special attack of the Knotty?","Tail (inflicts 'Imp')"
"What status effects does the Knotty resist?","Imp"
"How much HP does the Knotty have?","1000"
"What rage can be learned from the Knotty?","Stone"
"What sketch can be drawn from the Knotty?","Stone (3/4), Imp (1/4)"
"What abilities can be used while controlling the Knotty?","Attack, Break, Stone"
"What is the Tzakmaqiel known as on the SNES?","Kiwok"
"What is the weakness of the Tzakmaqiel?","Darkness, Zombie, Poison, MagiTek, Invisible, Death, Doom, Image, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Tzakmaqiel located?","Yeti's Cave (Everywhere except Umaro's Room) [WoR]"
"What does the Tzakmaqiel drop?","Green Cherry (7/8), White Cape (1/8)"
"What is the special attack of the Tzakmaqiel?","Peck (inflicts 'Imp')"
"What status effects does the Tzakmaqiel resist?","Imp, Petrify, Critical, Silence"
"How much HP does the Tzakmaqiel have?","2000"
"What rage can be learned from the Tzakmaqiel?","Imp"
"What sketch can be drawn from the Tzakmaqiel?","Cyclonic (3/4), Imp (1/4)"
"What abilities can be used while controlling the Tzakmaqiel?","Attack, Esuna"
"What is the weakness of the Zone Eater?","Invisible"
"Where is the Zone Eater located?","Triangle Island [WoR]"
"What can be stolen from the Zone Eater?","Teleport Stone (1/8)"
"What is the special attack of the Zone Eater?","Hit (150% damage)"
"What status effects does the Zone Eater resist?","Darkness, Zombie, Poison, MagiTek, Imp, Petrify, Death"
"What status effects does the Zone Eater absorb?","Ice"
"How much HP does the Zone Eater have?","7700"
"What sketch can be drawn from the Zone Eater?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Zone Eater?","Attack, Hit"
"What elements does the Zone Eater resist?","Fire, Lightning, Poison, Wind, Earth, Water"
"What is the Vasegiatta known as on the SNES?","Harpy"
"What is the weakness of the Vasegiatta?","Darkness, Zombie, Poison, MagiTek, Invisible, Critical, Image, Silence, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Vasegiatta located?","Around Thamasa (Grass & Forest) [WoR]"
"What can be stolen from the Vasegiatta?","Phoenix Down (1/8)"
"What is the special attack of the Vasegiatta?","Talon Grab (200% damage)"
"What status effects does the Vasegiatta resist?","Imp, Petrify, Death, Doom, Sleep"
"How much HP does the Vasegiatta have?","3615"
"What rage can be learned from the Vasegiatta?","Cyclonic"
"What sketch can be drawn from the Vasegiatta?","Cyclonic (3/4), Talon Grab (1/4)"
"What abilities can be used while controlling the Vasegiatta?","Attack, Talon Grab, Cyclonic, Aero"
"What is the Gloomwind known as on the SNES?","GloomShell"
"What is the weakness of the Gloomwind?","Zombie, MagiTek, Invisible, Death, Doom, Critical, Image, Silence, Sap, Slow, Stop"
"Where is the Gloomwind located?","Around Thamasa (Wasteland) [WoR]"
"What can be stolen from the Gloomwind?","Hi-Potion (1/8)"
"What is the special attack of the Gloomwind?","Rock (inflicts 'Petrify')"
"What status effects does the Gloomwind resist?","Darkness, Poison, Imp, Petrify, Berserk, Confusion, Sleep"
"How much HP does the Gloomwind have?","2905"
"What rage can be learned from the Gloomwind?","Net"
"What sketch can be drawn from the Gloomwind?","Net (3/4), Rock (1/4)"
"What abilities can be used while controlling the Gloomwind?","Attack, Rock, Net"
"What is the Purusa known as on the SNES?","Prussian"
"What is the weakness of the Purusa?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death, Doom, Image, Silence, Berserk, Sap, Sleep, Slow, Stop"
"Where is the Purusa located?","Around Thamasa (Everywhere) [WoR]"
"What can be stolen from the Purusa?","Moonring Blade (1/8)"
"What is the special attack of the Purusa?","Bear Hug (300% damage)"
"What status effects does the Purusa resist?","Petrify, Critical, Confusion"
"How much HP does the Purusa have?","3300"
"What rage can be learned from the Purusa?","Rock Slide"
"What sketch can be drawn from the Purusa?","Attack (3/4), Bear Hug (1/4)"
"What abilities can be used while controlling the Purusa?","Attack, Bear Hug, Stone"
"What is the weakness of the Covert?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image, Berserk, Sap, Sleep, Slow, Stop"
"Where is the Covert located?","Zone Eater's Belly (Everywhere) [WoR]"
"What can be stolen from the Covert?","Shuriken (7/8), Pinwheel (1/8)"
"What type of monster is the Covert?","Humanoid"
"What is the special attack of the Covert?","Disappear (unblockable; bestows 'Invisible')"
"What status effects does the Covert resist?","Petrify, Death, Doom, Critical, Silence, Confusion"
"What status effects does the Covert absorb?","Poison"
"How much HP does the Covert have?","4530"
"What rage can be learned from the Covert?","Wind Slash"
"What sketch can be drawn from the Covert?","Wind Slash (3/4), Disappear (1/4)"
"What abilities can be used while controlling the Covert?","Attack, Disappear, Wind Slash, Leaf Swirl"
"What is the Kamui known as on the SNES?","Ogor"
"What is the weakness of the Kamui?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Kamui located?","Zone Eater's Belly (Everywhere) [WoR]"
"What does the Kamui drop?","Holy Water (7/8)"
"What can be stolen from the Kamui?","Ashura (7/8), Murasame (1/8)"
"What type of monster is the Kamui?","Humanoid"
"What is the special attack of the Kamui?","Zombie Touch (inflicts 'Zombie')"
"What status effects does the Kamui resist?","Petrify, Death, Doom, Critical, Silence, Sleep"
"How much HP does the Kamui have?","4211"
"What rage can be learned from the Kamui?","Snowstorm"
"What sketch can be drawn from the Kamui?","Meteor (3/4), Attack (1/4)"
"What abilities can be used while controlling the Kamui?","Attack, Freezing Dust, White Wind"
"What is the Wartpuck known as on the SNES?","Wart Puck"
"What is the weakness of the Wartpuck?","Darkness, Zombie, MagiTek, Invisible, Petrify, Image, Silence, Sap, Sleep"
"Where is the Wartpuck located?","Zone Eater's Belly (Everywhere) [WoR]"
"What can be stolen from the Wartpuck?","Chain Flail (7/8), Dried Meat (1/8)"
"What is the special attack of the Wartpuck?","Yawn (inflicts 'Sleep')"
"What status effects does the Wartpuck resist?","Poison, Imp, Death, Doom, Critical, Berserk, Confusion"
"How much HP does the Wartpuck have?","3559"
"What rage can be learned from the Wartpuck?","Rasp"
"What sketch can be drawn from the Wartpuck?","Attack (3/4), Yawn (1/4)"
"What abilities can be used while controlling the Wartpuck?","Attack, Yawn, Self-Destruct"
"What is the Shambling Corpse known as on the SNES?","Karkass"
"What is the weakness of the Shambling Corpse?","Zombie, Poison, MagiTek, Invisible, Petrify, Image, Silence, Sap, Slow, Stop"
"Where is the Shambling Corpse located?","Zone Eater's Belly (Everywhere EXCEPT Gogo's Room) [WoR]"
"What can be stolen from the Shambling Corpse?","Mythril Sword (7/8), Soul Sabre (1/8)"
"What type of monster is the Shambling Corpse?","Undead"
"What is the special attack of the Shambling Corpse?","Figaro Malt (inflicts 'Imp')"
"What status effects does the Shambling Corpse resist?","Darkness, Imp, Death, Doom, Critical, Berserk, Confusion"
"What status effects does the Shambling Corpse absorb?","Poison"
"How much HP does the Shambling Corpse have?","3850"
"What rage can be learned from the Shambling Corpse?","Thundaga"
"What sketch can be drawn from the Shambling Corpse?","Thundaga (3/4), Break (1/4)"
"What abilities can be used while controlling the Shambling Corpse?","Attack, Break, Thundaga, Flare"
"What is the Amduscias known as on the SNES?","Tap Dancer"
"What is the weakness of the Amduscias?","Zombie, MagiTek, Invisible, Death, Doom, Image, Silence, Sap, Slow, Stop"
"Where is the Amduscias located?","Zone Eater's Belly (Everywhere) [WoR]"
"What can be stolen from the Amduscias?","Dagger (7/8), Swordbreaker (1/8)"
"What type of monster is the Amduscias?","Humanoid"
"What is the special attack of the Amduscias?","Booty Shake (inflicts 'Confusion')"
"What status effects does the Amduscias resist?","Darkness, Poison, Imp, Petrify, Critical, Berserk, Confusion"
"How much HP does the Amduscias have?","4452"
"What rage can be learned from the Amduscias?","Slowga"
"What sketch can be drawn from the Amduscias?","Slowga (3/4), Booty Shake (1/4)"
"What abilities can be used while controlling the Amduscias?","Attack, Booty Shake, Slowga, Hastega"
"What is the Baalzephon known as on the SNES?","Woolly"
"What is the weakness of the Baalzephon?","Zombie, MagiTek, Invisible, Death, Doom, Image, Silence, Sap, Sleep"
"Where is the Baalzephon located?","Zone Eater's Belly (Everywhere) [WoR]"
"What can be stolen from the Baalzephon?","Kunai (7/8), Sasuke (1/8)"
"What type of monster is the Baalzephon?","Humanoid"
"What is the special attack of the Baalzephon?","Frenzy (inflicts 'Berserk')"
"What status effects does the Baalzephon resist?","Darkness, Poison, Imp, Petrify, Critical, Berserk, Confusion"
"What status effects does the Baalzephon absorb?","Ice, Lightning, Poison, Wind, Earth, Water"
"How much HP does the Baalzephon have?","3609"
"What rage can be learned from the Baalzephon?","Blizzaga"
"What sketch can be drawn from the Baalzephon?","Tornado (3/4), Frenzy (1/4)"
"What abilities can be used while controlling the Baalzephon?","Attack, Frenzy"
"What is the weakness of the Samurai?","Darkness, Poison, MagiTek, Invisible, Critical, Sap, Sleep, Slow, Stop"
"Where is the Samurai located?","Cyan's Dream/Dreamscape (Phantom Train/Doma Castle) [WoR] Ancient Castle (outside) [WoR]"
"What type of monster is the Samurai?","Humanoid"
"What is the special attack of the Samurai?","Slay (inflicts 'Death')"
"What status effects does the Samurai resist?","Zombie, Imp, Petrify, Death, Doom, Image, Silence"
"How much HP does the Samurai have?","3000"
"What rage can be learned from the Samurai?","Lullaby"
"What sketch can be drawn from the Samurai?","Death (3/4), Flare (1/4)"
"What abilities can be used while controlling the Samurai?","Attack, Flare, Death, Hastega"
"What is the Al Jabr known as on the SNES?","Rain Man"
"What is the weakness of the Al Jabr?","Darkness, Poison, Death, Doom, Image, Confusion, Sap, Slow, Stop"
"Where is the Al Jabr located?","Cyan's Dream/Dreamscape (Phantom Train/Doma Castle) [WoR]"
"What type of monster is the Al Jabr?","Humanoid"
"What is the special attack of the Al Jabr?","Spinning Umbrella (inflicts 'Sleep')"
"What status effects does the Al Jabr resist?","Zombie, MagiTek, Invisible, Imp, Petrify, Critical, Silence"
"How much HP does the Al Jabr have?","2722"
"What rage can be learned from the Al Jabr?","Thundaga"
"What sketch can be drawn from the Al Jabr?","Thundaga (3/4), Spinning Umbrella (1/4)"
"What abilities can be used while controlling the Al Jabr?","Attack, Spinning Umbrella, Thundaga, Flash Rain"
"What is the weakness of the Suriander?","Darkness, Poison, Petrify, Critical, Image, Silence, Sap, Sleep"
"Where is the Suriander located?","Cyan's Dream/Dreamscape (Phantom Train/Doma Castle) [WoR] Ancient Castle (outside) [WoR]"
"What is the special attack of the Suriander?","Yawn (inflicts 'Sleep')"
"What status effects does the Suriander resist?","Zombie, MagiTek, Invisible, Imp, Death, Doom, Berserk"
"How much HP does the Suriander have?","2912"
"What rage can be learned from the Suriander?","Aqua Breath"
"What sketch can be drawn from the Suriander?","Aqua Breath (3/4), Yawn (1/4)"
"What abilities can be used while controlling the Suriander?","Attack, Yawn, Aqua Breath"
"What is the Weredragon known as on the SNES?","Allosaurus"
"What is the weakness of the Weredragon?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Weredragon located?","Cyan's Dream/Dreamscape (First Area) [WoR]"
"What is the special attack of the Weredragon?","Venom Claw (inflicts 'Poison')"
"What status effects does the Weredragon resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"How much HP does the Weredragon have?","3000"
"What rage can be learned from the Weredragon?","Death"
"What sketch can be drawn from the Weredragon?","Death (3/4), Venom Claw (1/4)"
"What abilities can be used while controlling the Weredragon?","Attack, Venom Claw, Death"
"What is the Schmidt known as on the SNES?","Sky Cap"
"What is the weakness of the Schmidt?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Schmidt located?","Cyan's Dream/Dreamscape (Cave) [WoR]"
"What is the special attack of the Schmidt?","Anchor (inflicts 'Sap')"
"What status effects does the Schmidt resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Schmidt have?","3262"
"What rage can be learned from the Schmidt?","Mega Berserk"
"What sketch can be drawn from the Schmidt?","Atomic Rays (3/4), Anchor (1/4)"
"What abilities can be used while controlling the Schmidt?","Attack, Anchor, Magitek Laser"
"What is the Pluto Armor known as on the SNES?","PlutoArmor"
"What is the weakness of the Pluto Armor?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Pluto Armor located?","Cyan's Dream/Dreamscape (Cave) [WoR]"
"What is the special attack of the Pluto Armor?","Ram (200% damage)"
"What status effects does the Pluto Armor resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Pluto Armor have?","2850"
"What rage can be learned from the Pluto Armor?","Magitek Laser"
"What sketch can be drawn from the Pluto Armor?","Magitek Laser (3/4), Ram (1/4)"
"What abilities can be used while controlling the Pluto Armor?","Attack, Ram, Magitek Laser, Metal Cutter"
"What is the Alluring Rider known as on the SNES?","Critic"
"What is the weakness of the Alluring Rider?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap"
"Where is the Alluring Rider located?","Cyan's Dream/Dreamscape (First Area) [WoR]"
"What type of monster is the Alluring Rider?","Humanoid"
"What is the special attack of the Alluring Rider?","Sap Seed (inflicts 'Sap')"
"What status effects does the Alluring Rider resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"How much HP does the Alluring Rider have?","1200"
"What rage can be learned from the Alluring Rider?","Doom"
"What sketch can be drawn from the Alluring Rider?","Doom (3/4), Sap Seed (1/4)"
"What abilities can be used while controlling the Alluring Rider?","Attack, Sap Seed, Doom"
"What is the Pandora known as on the SNES?","Pan Dora"
"What is the weakness of the Pandora?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Pandora located?","Cyan's Dream/Dreamscape (Everywhere but Cave) [WoR]"
"What type of monster is the Pandora?","Undead"
"What is the special attack of the Pandora?","Hypno Gas (inflicts 'Sleep')"
"What status effects does the Pandora resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Pandora absorb?","Poison"
"How much HP does the Pandora have?","1522"
"What rage can be learned from the Pandora?","Revenge Blast"
"What sketch can be drawn from the Pandora?","Revenge Blast (3/4), Hypno Gas (1/4)"
"What abilities can be used while controlling the Pandora?","Attack, Hypno Gas, Revenge Blast"
"What is the weakness of the Parasite?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Parasite located?","Cyan's Dream/Dreamscape (Everywhere but Cave) [WoR]"
"What is the special attack of the Parasite?","Mind Stop (inflicts 'Stop')"
"What status effects does the Parasite resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"How much HP does the Parasite have?","1000"
"What rage can be learned from the Parasite?","Gigavolt"
"What sketch can be drawn from the Parasite?","Gigavolt (3/4), Mind Stop (1/4)"
"What abilities can be used while controlling the Parasite?","Attack, Mind Stop, Gigavolt"
"What is the Coco known as on the SNES?","Barb-e"
"What is the weakness of the Coco?","Slow, Stop"
